表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
聞え,動詞,自立,*,*,一段,連用形,聞える,キコエ,キコエ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
袁,名詞,一般,*,*,*,*,袁,袁,袁
も,助詞,係助詞,*,*,*,*,も,モ,モ
また,接続詞,*,*,*,*,*,また,マタ,マタ
涙,名詞,一般,*,*,*,*,涙,ナミダ,ナミダ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
泛,名詞,一般,*,*,*,*,泛,泛,泛
べ,助詞,終助詞,*,*,*,*,べ,ベ,ベ
、,記号,読点,*,*,*,*,、,、,、
欣,名詞,一般,*,*,*,*,欣,欣,欣
んで,助詞,接続助詞,*,*,*,*,んで,ンデ,ンデ
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
意,名詞,一般,*,*,*,*,意,イ,イ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
副,接頭詞,名詞接続,*,*,*,*,副,フク,フク
い,動詞,自立,*,*,一段,連用形,いる,イ,イ
たい,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
旨,名詞,非自立,一般,*,*,*,旨,ムネ,ムネ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
答え,動詞,自立,*,*,一段,連用形,答える,コタエ,コタエ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
声,名詞,一般,*,*,*,*,声,コエ,コエ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ
忽ち,副詞,一般,*,*,*,*,忽ち,タチマチ,タチマチ
又,接続詞,*,*,*,*,*,又,マタ,マタ
先刻,名詞,副詞可能,*,*,*,*,先刻,センコク,センコク
の,助詞,連体化,*,*,*,*,の,ノ,ノ
自嘲,名詞,サ変接続,*,*,*,*,自嘲,ジチョウ,ジチョー
的,名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
調子,名詞,一般,*,*,*,*,調子,チョウシ,チョーシ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
戻っ,動詞,自立,*,*,五段・ラ行,連用タ接続,戻る,モドッ,モドッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
言っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
本当は,接続詞,*,*,*,*,*,本当は,ホントウハ,ホントーワ
、,記号,読点,*,*,*,*,、,、,、
先ず,副詞,一般,*,*,*,*,先ず,マズ,マズ
、,記号,読点,*,*,*,*,、,、,、
この,連体詞,*,*,*,*,*,この,コノ,コノ
事,名詞,非自立,一般,*,*,*,事,コト,コト
の,助詞,連体化,*,*,*,*,の,ノ,ノ
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
先,名詞,一般,*,*,*,*,先,サキ,サキ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
お願い,名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ
す,動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス
べき,助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
、,記号,読点,*,*,*,*,、,、,、
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
。,記号,句点,*,*,*,*,。,。,。
飢え,名詞,一般,*,*,*,*,飢え,ウエ,ウエ
凍えよ,動詞,自立,*,*,一段,未然ウ接続,凍える,コゴエヨ,コゴエヨ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
妻子,名詞,一般,*,*,*,*,妻子,サイシ,サイシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
より,助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
も,助詞,係助詞,*,*,*,*,も,モ,モ
、,記号,読点,*,*,*,*,、,、,、
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
乏しい,形容詞,自立,*,*,形容詞・イ段,基本形,乏しい,トボシイ,トボシイ
詩,名詞,一般,*,*,*,*,詩,シ,シ
業,名詞,接尾,一般,*,*,*,業,ギョウ,ギョー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
気,名詞,一般,*,*,*,*,気,キ,キ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
かけ,動詞,自立,*,*,一段,連用形,かける,カケ,カケ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
男,名詞,一般,*,*,*,*,男,オトコ,オトコ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ
、,記号,読点,*,*,*,*,、,、,、
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ
獣,名詞,一般,*,*,*,*,獣,シシ,シシ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
身,名詞,一般,*,*,*,*,身,ミ,ミ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
堕す,動詞,自立,*,*,五段・サ行,基本形,堕す,ダス,ダス
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
そうして,接続詞,*,*,*,*,*,そうして,ソウシテ,ソーシテ
、,記号,読点,*,*,*,*,、,、,、
附加,名詞,サ変接続,*,*,*,*,附加,フカ,フカ
えて,副詞,一般,*,*,*,*,えて,エテ,エテ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
、,記号,読点,*,*,*,*,、,、,、
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
嶺,名詞,一般,*,*,*,*,嶺,ミネ,ミネ
南,名詞,一般,*,*,*,*,南,ミナミ,ミナミ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
帰途,名詞,一般,*,*,*,*,帰途,キト,キト
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
決して,副詞,一般,*,*,*,*,決して,ケッシテ,ケッシテ
この,連体詞,*,*,*,*,*,この,コノ,コノ
途,名詞,一般,*,*,*,*,途,ト,ト
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
通ら,動詞,自立,*,*,五段・ラ行,未然形,通る,トオラ,トーラ
ない,助動詞,*,*,*,特殊・ナイ,連用デ接続,ない,ナイ,ナイ
で,助詞,接続助詞,*,*,*,*,で,デ,デ
欲しい,形容詞,非自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ
、,記号,読点,*,*,*,*,、,、,、
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
酔っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,酔う,ヨッ,ヨッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
故人,名詞,一般,*,*,*,*,故人,コジン,コジン
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
認め,動詞,自立,*,*,一段,未然形,認める,ミトメ,ミトメ
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
襲いかかる,動詞,自立,*,*,五段・ラ行,基本形,襲いかかる,オソイカカル,オソイカカル
かも,助詞,副助詞,*,*,*,*,かも,カモ,カモ
知れ,動詞,自立,*,*,一段,未然形,知れる,シレ,シレ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ
。,記号,句点,*,*,*,*,。,。,。
又,接続詞,*,*,*,*,*,又,マタ,マタ
、,記号,読点,*,*,*,*,、,、,、
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
別れ,動詞,自立,*,*,一段,連用形,別れる,ワカレ,ワカレ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
、,記号,読点,*,*,*,*,、,、,、
前方,名詞,一般,*,*,*,*,前方,ゼンポウ,ゼンポー
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク
歩,名詞,接尾,助数詞,*,*,*,歩,ホ,ホ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
所,名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
、,記号,読点,*,*,*,*,、,、,、
あの,連体詞,*,*,*,*,*,あの,アノ,アノ
丘,名詞,一般,*,*,*,*,丘,オカ,オカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
上っ,動詞,自立,*,*,五段・ラ行,連用タ接続,上る,ノボッ,ノボッ
たら,助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
、,記号,読点,*,*,*,*,、,、,、
此方,名詞,一般,*,*,*,*,此方,此方,此方
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
振り,動詞,自立,*,*,五段・ラ行,連用形,振る,フリ,フリ
かえって,副詞,一般,*,*,*,*,かえって,カエッテ,カエッテ
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
貰い,動詞,自立,*,*,五段・ワ行促音便,連用形,貰う,モライ,モライ
たい,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
。,記号,句点,*,*,*,*,。,。,。
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
姿,名詞,一般,*,*,*,*,姿,スガタ,スガタ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
もう一度,副詞,一般,*,*,*,*,もう一度,モウイチド,モーイチド
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ
目,名詞,一般,*,*,*,*,目,メ,メ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
掛けよ,動詞,自立,*,*,一段,未然ウ接続,掛ける,カケヨ,カケヨ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。,記号,句点,*,*,*,*,。,。,。
勇,名詞,一般,*,*,*,*,勇,イサミ,イサミ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
誇ろ,動詞,自立,*,*,五段・ラ行,未然ウ接続,誇る,ホコロ,ホコロ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
我が,連体詞,*,*,*,*,*,我が,ワガ,ワガ
醜悪,名詞,形容動詞語幹,*,*,*,*,醜悪,シュウアク,シューアク
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
姿,名詞,一般,*,*,*,*,姿,スガタ,スガタ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
示し,動詞,自立,*,*,五段・サ行,連用形,示す,シメシ,シメシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
以,名詞,一般,*,*,*,*,以,以,以
て,助詞,格助詞,連語,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
再び,副詞,助詞類接続,*,*,*,*,再び,フタタビ,フタタビ
此処,名詞,一般,*,*,*,*,此処,ココ,ココ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
過ぎ,動詞,自立,*,*,一段,連用形,過ぎる,スギ,スギ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
会お,動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,会う,アオ,アオ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
の,助詞,連体化,*,*,*,*,の,ノ,ノ
気持,名詞,一般,*,*,*,*,気持,キモチ,キモチ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
起さ,動詞,自立,*,*,五段・サ行,未然形,起す,オコサ,オコサ
せ,動詞,接尾,*,*,一段,未然形,せる,セ,セ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
為,名詞,非自立,副詞可能,*,*,*,為,タメ,タメ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
と,助詞,格助詞,引用,*,*,*,と,ト,ト
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
向っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,向う,ムカッ,ムカッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
懇ろ,名詞,形容動詞語幹,*,*,*,*,懇ろ,ネンゴロ,ネンゴロ
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
別れ,名詞,一般,*,*,*,*,別れ,ワカレ,ワカレ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
言葉,名詞,一般,*,*,*,*,言葉,コトバ,コトバ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
述べ,動詞,自立,*,*,一段,連用形,述べる,ノベ,ノベ
、,記号,読点,*,*,*,*,、,、,、
馬,名詞,一般,*,*,*,*,馬,ウマ,ウマ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
上っ,動詞,自立,*,*,五段・ラ行,連用タ接続,上る,ノボッ,ノボッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
又,接続詞,*,*,*,*,*,又,マタ,マタ
、,記号,読点,*,*,*,*,、,、,、
堪え,動詞,自立,*,*,一段,連用形,堪える,コタエ,コタエ
得,動詞,非自立,*,*,一段,未然形,得る,エ,エ
ざる,助動詞,*,*,*,特殊・ヌ,体言接続,ぬ,ザル,ザル
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
如き,助動詞,*,*,*,文語・ゴトシ,体言接続,如し,ゴトキ,ゴトキ
悲泣,名詞,一般,*,*,*,*,悲泣,悲泣,悲泣
の,助詞,連体化,*,*,*,*,の,ノ,ノ
声,名詞,一般,*,*,*,*,声,コエ,コエ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
洩れ,動詞,自立,*,*,一段,連用形,洩れる,モレ,モレ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
も,助詞,係助詞,*,*,*,*,も,モ,モ
幾度,名詞,一般,*,*,*,*,幾度,イクド,イクド
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
振,動詞,自立,*,*,五段・ラ行,体言接続特殊２,振る,フ,フ
返り,動詞,自立,*,*,五段・ラ行,連用形,返る,カエリ,カエリ
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、,記号,読点,*,*,*,*,、,、,、
涙,名詞,一般,*,*,*,*,涙,ナミダ,ナミダ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
出発,名詞,サ変接続,*,*,*,*,出発,シュッパツ,シュッパツ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
一行,名詞,一般,*,*,*,*,一行,イッコウ,イッコー
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
丘,名詞,一般,*,*,*,*,丘,オカ,オカ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
つい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
、,記号,読点,*,*,*,*,、,、,、
彼等,名詞,代名詞,一般,*,*,*,彼等,カレラ,カレラ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
言わ,動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
通り,名詞,一般,*,*,*,*,通り,トオリ,トーリ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
振,動詞,自立,*,*,五段・ラ行,体言接続特殊２,振る,フ,フ
返っ,動詞,自立,*,*,五段・ラ行,連用タ接続,返る,カエッ,カエッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
先程,名詞,副詞可能,*,*,*,*,先程,サキホド,サキホド
の,助詞,連体化,*,*,*,*,の,ノ,ノ
林間,名詞,一般,*,*,*,*,林間,リンカン,リンカン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
草地,名詞,固有名詞,人名,姓,*,*,草地,クサチ,クサチ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
眺め,動詞,自立,*,*,一段,連用形,眺める,ナガメ,ナガメ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
忽ち,副詞,一般,*,*,*,*,忽ち,タチマチ,タチマチ
、,記号,読点,*,*,*,*,、,、,、
一,名詞,数,*,*,*,*,一,イチ,イチ
匹,名詞,接尾,助数詞,*,*,*,匹,ヒキ,ヒキ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
草,名詞,一般,*,*,*,*,草,クサ,クサ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
茂み,名詞,一般,*,*,*,*,茂み,シゲミ,シゲミ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
道,名詞,一般,*,*,*,*,道,ミチ,ミチ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
躍り出,動詞,自立,*,*,一段,連用形,躍り出る,オドリデ,オドリデ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
彼等,名詞,代名詞,一般,*,*,*,彼等,カレラ,カレラ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
既に,副詞,一般,*,*,*,*,既に,スデニ,スデニ
白く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,白い,シロク,シロク
光,名詞,一般,*,*,*,*,光,ヒカリ,ヒカリ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
失っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,失う,ウシナッ,ウシナッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
月,名詞,一般,*,*,*,*,月,ツキ,ツキ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
仰い,動詞,自立,*,*,五段・ガ行,連用タ接続,仰ぐ,アオイ,アオイ
で,助詞,接続助詞,*,*,*,*,で,デ,デ
、,記号,読点,*,*,*,*,、,、,、
二,名詞,数,*,*,*,*,二,ニ,ニ
声,名詞,接尾,一般,*,*,*,声,ゴエ,ゴエ
三,名詞,数,*,*,*,*,三,サン,サン
声,名詞,一般,*,*,*,*,声,コエ,コエ
咆哮,名詞,サ変接続,*,*,*,*,咆哮,ホウコウ,ホーコー
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
思う,動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ
と,助詞,接続助詞,*,*,*,*,と,ト,ト
、,記号,読点,*,*,*,*,、,、,、
又,接続詞,*,*,*,*,*,又,マタ,マタ
、,記号,読点,*,*,*,*,、,、,、
元,名詞,一般,*,*,*,*,元,モト,モト
の,助詞,連体化,*,*,*,*,の,ノ,ノ
叢,名詞,一般,*,*,*,*,叢,クサムラ,クサムラ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
躍り,動詞,自立,*,*,五段・ラ行,連用形,躍る,オドリ,オドリ
入っ,動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
